transaction_id,order_datetime_utc,ingested_at_utc,country,source_system,source_scenario,product_code,product_name,product_category,brand,sales_channel,quantity,unit_price,currency,discount_pct,gross_amount,net_amount
TXN-DE-3-000001,2026-08-27 11:02:07,2026-08-27 11:05:07,DE,SaaS Platform,D,DER-001,Dermacare GlowSerum,Aesthetic,Dermacare,E-commerce,10,32.0,EUR,0.1,320.0,288.0
TXN-DE-3-000002,2026-08-27 04:48:32,2026-08-27 04:49:32,DE,SaaS Platform,D,DER-001,Dermacare GlowSerum,Aesthetic,Dermacare,Pharmacy/B2B,2,32.0,EUR,0.2,64.0,51.2
TXN-DE-3-000003,2026-08-27 21:47:14,2026-08-27 21:52:14,DE,SaaS Platform,D,SAN-002,SanaPlus ColdFlu,OTC,SanaPlus,E-commerce,5,10.5,EUR,0.0,52.5,52.5
TXN-DE-3-000004,2026-08-27 16:02:40,2026-08-27 16:08:40,DE,SaaS Platform,D,PUR-001,PureLife GlucoMonitor,Medical Device,PureLife,Pharmacy/B2B,12,85.0,EUR,0.0,1020.0,1020.0
TXN-DE-3-000005,2026-08-27 19:32:26,2026-08-27 19:34:26,DE,SaaS Platform,D,MED-001,Medora Cardio 10mg,Prescription,Medora,Pharmacy/B2B,1,43.0,EUR,0.05,43.0,40.85
TXN-DE-3-000006,2026-08-27 13:05:04,2026-08-27 13:07:04,DE,SaaS Platform,D,DER-002,Dermacare LiftCream,Aesthetic,Dermacare,Pharmacy/B2B,5,37.0,EUR,0.0,185.0,185.0
TXN-DE-3-000007,2026-08-27 05:55:54,2026-08-27 05:59:54,DE,SaaS Platform,D,DER-001,Dermacare GlowSerum,Aesthetic,Dermacare,Pharmacy/B2B,12,32.0,EUR,0.0,384.0,384.0
TXN-DE-3-000008,2026-08-27 15:54:27,2026-08-27 15:56:27,DE,SaaS Platform,D,DER-001,Dermacare GlowSerum,Aesthetic,Dermacare,D2C,5,32.0,EUR,0.0,160.0,160.0
TXN-DE-3-000009,2026-08-27 08:21:33,2026-08-27 08:23:33,DE,SaaS Platform,D,DER-002,Dermacare LiftCream,Aesthetic,Dermacare,D2C,6,37.0,EUR,0.05,222.0,210.9
TXN-DE-3-000010,2026-08-27 09:17:34,2026-08-27 09:23:34,DE,SaaS Platform,D,PUR-002,PureLife BP Monitor,Medical Device,PureLife,E-commerce,7,90.0,EUR,0.2,630.0,504.0
TXN-DE-3-000011,2026-08-27 05:15:25,2026-08-27 05:19:25,DE,SaaS Platform,D,DER-002,Dermacare LiftCream,Aesthetic,Dermacare,Wholesale,4,37.0,EUR,0.0,148.0,148.0
TXN-DE-3-000012,2026-08-27 04:52:54,2026-08-27 04:54:54,DE,SaaS Platform,D,DER-001,Dermacare GlowSerum,Aesthetic,Dermacare,Pharmacy/B2B,4,32.0,EUR,0.0,128.0,128.0
TXN-DE-3-000013,2026-08-27 15:24:44,2026-08-27 15:27:44,DE,SaaS Platform,D,MED-001,Medora Cardio 10mg,Prescription,Medora,Wholesale,6,43.0,EUR,0.0,258.0,258.0
TXN-DE-3-000014,2026-08-27 02:48:04,2026-08-27 02:52:04,DE,SaaS Platform,D,VIT-002,Vitalis Multivit,Supplement,Vitalis,E-commerce,11,17.0,EUR,0.0,187.0,187.0
TXN-DE-3-000015,2026-08-27 11:25:20,2026-08-27 11:26:20,DE,SaaS Platform,D,DER-002,Dermacare LiftCream,Aesthetic,Dermacare,Wholesale,2,37.0,EUR,0.1,74.0,66.6
TXN-DE-3-000016,2026-08-27 20:03:48,2026-08-27 20:08:48,DE,SaaS Platform,D,DER-002,Dermacare LiftCream,Aesthetic,Dermacare,D2C,10,37.0,EUR,0.0,370.0,370.0
TXN-DE-3-000017,2026-08-27 09:26:57,2026-08-27 09:32:57,DE,SaaS Platform,D,VIT-001,Vitalis C1000,Supplement,Vitalis,E-commerce,2,21.0,EUR,0.1,42.0,37.8
TXN-DE-3-000018,2026-08-27 04:25:05,2026-08-27 04:26:05,DE,SaaS Platform,D,SAN-001,SanaPlus PainRelief,OTC,SanaPlus,Pharmacy/B2B,11,9.5,EUR,0.15,104.5,88.83
TXN-DE-3-000019,2026-08-27 17:37:56,2026-08-27 17:39:56,DE,SaaS Platform,D,MED-002,Medora Derm Cream,Prescription,Medora,Pharmacy/B2B,12,26.0,EUR,0.15,312.0,265.2
